Front,Back
What is the capital of France?,Paris
What is the capital of Japan?,Tokyo
What is the capital of Australia?,Canberra
What is the capital of Canada?,Ottawa
What is the capital of Brazil?,Brasília
What is the largest planet in our solar system?,Jupiter
What is the chemical symbol for gold?,Au
How many continents are there?,Seven
What year did World War II end?,1945
"What does ""HTTP"" stand for?",HyperText Transfer Protocol
"Who wrote ""Romeo and Juliet""?",William Shakespeare
What is the square root of 144?,12
